FFT Gray Avg,FFT Gray Median,FFT Gray SD,FFT Gray Max,FFT Gray Min,FFT Gray Mode,FFT Gray Midpoint,FFT Gray Var,FFT Red Avg,FFT Red Median,FFT Red SD,FFT Red Max,FFT Red Min,FFT Red Mode,FFT Red Midpoint,FFT Red Var,FFT Green Avg,FFT Green Median,FFT Green SD,FFT Green Max,FFT Green Min,FFT Green Mode,FFT Green Midpoint,FFT Green Var,DCT Gray,DCT Red,DCT Green,Wavelet Gray Avg,Wavelet Gray Median,Wavelet Gray SD,Wavelet Gray Max,Wavelet Gray Min,Wavelet Gray Mode,Wavelet Gray Midpoint,Wavelet Gray Var,Wavelet Red Avg,Wavelet Red Median,Wavelet Red SD,Wavelet Red Max,Wavelet Red Min,Wavelet Red Mode,Wavelet Red Midpoint,Wavelet Red Var,Wavelet Green Avg,Wavelet Green Median,Wavelet Green SD,Wavelet Green Max,Wavelet Green Min,Wavelet Green Mode,Wavelet Green Midpoint,Wavelet Green Var
97.00000,-357.36554,23354.70897,4823854.00000,13.92404,13.92404,2411933.96200,54000000000000000000.00000,53.00000,-861.12035,12769.49083,2246011.00000,1.68161,1.68161,1123006.34100,2960000000000000000.00000,106.00000,-803.66515,24327.26785,4909189.00000,7.59788,7.59788,2454598.29900,59300000000000000000.00000,21535.06250,10026.83482,21916.02232,3.01612,3.23346,0.21652,6.23480,0.14902,0.14902,3.19191,0.34114,1.40432,1.10404,0.18519,5.73186,0.02108,0.02108,2.87647,0.17261,3.06947,3.25723,0.27213,6.30784,0.09853,0.09853,3.20319,0.64087
70.00000,143.48663,19592.55339,4093391.00000,-7.09044,-7.09044,2046691.95500,27500000000000000000.00000,29.00000,-384.59114,10158.06766,2001633.00000,-3.68166,-3.68166,1000814.65900,1710000000000000000.00000,81.00000,-341.93994,19263.29429,4033457.00000,5.03743,5.03743,2016731.01900,24800000000000000000.00000,18274.06696,8935.86161,18006.50446,2.55939,2.57120,0.22508,5.40343,0.26765,0.26765,2.83554,0.18431,1.25152,1.21409,0.29899,4.72255,0.13382,0.13382,2.42819,0.21176,2.52192,2.67243,0.17860,5.74853,0.29804,0.29804,3.02328,0.10806
87.00000,-553.32922,22128.60601,4564209.00000,1.13526,1.13526,2282105.06800,40400000000000000000.00000,34.00000,290.04011,11422.56985,1914564.00000,-9.26629,-9.26629,957277.36690,1370000000000000000.00000,96.00000,32.02510,23357.82987,4807040.00000,-14.31899,-14.31899,2403512.84100,50300000000000000000.00000,20375.93304,8547.16071,21460.00000,2.85377,2.55723,0.41107,6.25196,0.44608,0.48529,3.34902,0.77304,1.19708,0.70784,0.42580,5.71127,0.03284,0.03284,2.87206,0.74332,3.00560,2.84252,0.41021,6.66569,0.49461,0.54216,3.58015,0.70782
109.00000,50.79572,21492.05591,4294465.00000,-1.63616,-1.63616,2147231.68200,40700000000000000000.00000,49.00000,516.09202,10890.48875,1798342.00000,-2.80045,-2.80045,899169.59980,1670000000000000000.00000,123.00000,289.11625,19515.53573,3549365.00000,-4.04562,-4.04562,1774680.47700,22000000000000000000.00000,19171.71875,8028.31250,15845.37946,2.68511,2.81042,0.24828,6.15637,0.09314,0.09314,3.12475,0.52941,1.12441,0.82721,0.42433,5.19755,0.02549,0.03186,2.61152,0.57749,2.21924,1.99338,0.37938,6.46814,0.07598,0.08382,3.27206,1.26321
129.00000,885.18113,21291.82626,4291131.00000,-5.15116,-5.15116,2145562.92400,33000000000000000000.00000,40.00000,-852.48726,14243.06540,2580036.00000,-0.24171,-0.24171,1290017.87900,4720000000000000000.00000,151.00000,224.66882,21609.64047,4318067.00000,-1.42201,-1.42201,2159032.78900,33400000000000000000.00000,19156.83482,11518.01786,19277.08482,2.68303,2.90784,0.18535,6.03775,0.19657,0.19657,3.11716,0.25094,1.61317,1.46262,0.25293,5.93725,0.01225,0.01225,2.97475,0.31383,2.69987,2.53701,0.23222,6.20735,0.20392,0.20392,3.20564,0.37697
164.00000,-499.31367,28975.07316,6191576.00000,-3.61519,-3.61519,3095786.19200,138000000000000000000.00000,160.00000,396.71872,21271.66513,4189939.00000,-1.39306,-1.39306,2094968.80300,31900000000000000000.00000,170.00000,-121.66115,30488.97481,6448645.00000,2.85988,2.85988,3224323.93000,165000000000000000000.00000,27640.96429,18705.08482,28788.59375,3.87128,3.88811,0.46308,6.70588,0.20343,0.20343,3.45466,1.51740,2.61976,2.26949,0.34853,6.99951,0.22402,0.22402,3.61176,1.14682,4.03202,4.06544,0.49086,7.11961,0.19608,0.19608,3.65784,1.86482
150.00000,-550.10052,25976.26698,5393729.00000,0.06530,0.06530,2696864.53300,86800000000000000000.00000,104.00000,98.42163,22753.42772,4446055.00000,0.18002,0.18002,2223027.59000,39000000000000000000.00000,154.00000,519.38872,24797.45124,5032814.00000,1.43186,1.43186,2516407.71600,65000000000000000000.00000,24079.14732,19848.45982,22467.91964,3.37243,3.85723,0.44422,6.10980,0.07010,0.11078,3.08995,1.28572,2.77990,2.80380,0.37015,6.62059,0.05000,0.11078,3.33529,1.14729,3.14677,3.14730,0.36454,6.26078,0.04510,0.09559,3.15294,1.05349
131.00000,167.15178,18603.77046,4009978.00000,-0.93796,-0.93796,2004988.53100,23900000000000000000.00000,135.00000,330.89419,16525.75872,3480944.00000,-0.04609,-0.04609,1740471.97700,13300000000000000000.00000,135.00000,615.34544,16889.71033,3500623.00000,-1.52493,-1.52493,1750310.73800,14000000000000000000.00000,17901.68750,15539.92857,15627.78125,2.50724,2.55343,0.24985,6.56373,0.42990,0.42990,3.49681,0.16498,2.17646,2.08100,0.28990,7.72843,0.42990,0.42990,4.07917,0.31644,2.18876,2.23971,0.21213,6.58284,0.27010,0.27010,3.42647,0.14491
49.00000,367.12295,24440.16822,4742149.00000,2.64362,2.64362,2371075.82200,52100000000000000000.00000,44.00000,220.99890,20026.86167,3446499.00000,0.82232,0.82232,1723249.91100,15500000000000000000.00000,54.00000,-390.66888,24950.41546,4654435.00000,1.04527,1.04527,2327218.02300,52800000000000000000.00000,21170.30804,15386.15625,20778.72768,2.96503,2.37561,0.29755,7.80637,0.25931,0.25931,4.03284,0.94449,2.15492,0.79755,0.44343,7.94951,0.03922,0.03922,3.99436,1.58959,2.91019,1.88627,0.25936,7.80637,0.25000,0.29216,4.02819,0.80222
9.00000,-188.53876,19616.13962,3667264.00000,-2.36864,-2.36864,1833630.81600,20800000000000000000.00000,9.00000,-308.57765,12522.99839,2168295.00000,0.10839,0.10839,1084147.55400,2490000000000000000.00000,7.00000,-358.15878,18841.94642,3499874.00000,0.41544,0.41544,1749937.20800,16600000000000000000.00000,16371.71429,9679.88839,15624.43750,2.29296,2.15907,0.45328,6.56471,0.22696,0.22696,3.39583,1.23014,1.35573,0.96458,0.51917,6.82941,0.13971,0.13971,3.48456,1.46104,2.18830,2.09645,0.39086,6.63578,0.16422,0.16422,3.40000,0.93059
