Red,Green,Blue,Gray_Average,Gray_Median,Gray_SD,Gray_Max,Gray_Min,Gray_Skewness,Gray_Kurtusis,Gray_IQR,Area_Mean,Area_SD,BoundingBox_Mean,BoundingBox_SD,BoundingBox_Skewness,BoundingBox_Kurtusis,Eccentricity_Mean,Eccentricity_SD,FilledArea_Mean,FilledArea_SD,Area,Entropy,Above_Red,Above_Green,Above_Blue,Below_Red,Below_Green,Below_Blue,Target
98.24862,80.88284,43.78328,0.06033,0,0.06481,1,0,1.99348,15.65759,0,9652,0,199.75,228.91938,0,1,0.64639,0,10211,0,160000,0.32873,64625,95375,77986,82014,60912,99088,0
119.60142,93.71012,78.31598,0.0145,0,0.04598,1,0,0.86847,3.33505,0,2320,0,199.75,222.65912,0,1.00325,0.54673,0,2331,0,160000,0.10933,82439,77561,91539,68461,86128,73872,0
96.49124,88.58821,73.02938,0.03818,0,0.0662,1,0,0.9124,4.63202,0,6108,0,192.75,221.13212,0.00801,1.01067,0.63061,0,6322,0,160000,0.23386,75786,84214,90492,69508,76961,83039,0
99.42983,55.81432,27.15251,0.06826,0,0.06286,1,0,1.38439,10.6815,0,10921,0,199.75,227.19393,0,1.00023,0.78353,0,11457,0,160000,0.35938,66918,93082,63945,96055,43914,116086,0
100.71356,74.74222,37.43914,0.03067,0,0.04934,1,0,1.18163,8.55098,0,4907,0,199.75,215.50889,0,1.01647,0.55104,0,5182,0,160000,0.19773,65142,94858,78997,81003,60879,99121,0
77.85849,77.32451,61.1213,0.04825,0,0.04282,1,0,1.30935,9.73968,0,7720,0,199.75,228.91938,0,1,0.50214,0,8346,0,160000,0.27892,64879,95121,79364,80636,70678,89322,0
155.95784,148.25246,114.07881,0.05249,0,0.03189,1,0,0.13455,2.90492,0,8398,0,199.75,228.91938,0,1,0.42138,0,10003,0,160000,0.29687,89159,70841,84302,75698,72888,87112,0
90.93043,32.50685,15.93717,0.00791,0,0.05245,1,0,-0.10767,2.16171,0,1266,0,188.25,183.40324,0.03939,1.05374,0.85748,0,1285,0,160000,0.06661,62004,97996,51778,108222,53962,106038,0
96.21088,87.63716,66.12233,0.05983,0,0.03767,1,0,0.94344,4.67191,0,9573,0,199.75,228.91938,0,1,0.6837,0,9987,0,160000,0.32677,76694,83306,80334,79666,68139,91861,0
90.81759,96.79611,49.37712,0.02908,0,0.03034,1,0,3.69501,145.88251,0,4652,0,194.5,218.5837,0.00812,1.0126,0.70758,0,4674,0,160000,0.18973,55399,104601,95064,64936,61509,98491,0
72.48446,30.03831,12.7333,0.01353,0,0.04904,1,0,0.79194,4.19146,0,2164,0,199.75,203.03797,0,1.00391,0.9492,0,2379,0,160000,0.10335,62160,97840,58940,101060,71881,88119,0
96.7737,77.95878,67.13179,0.02959,0,0.04304,1,0,2.03066,34.06351,0,4735,0,199.75,228.91938,0,1,0.68425,0,4735,0,160000,0.19235,69703,90297,73100,86900,63579,96421,0
160.90688,83.97083,41.47917,0.01068,0,0.04514,1,0,0.32767,2.48234,0,1708,0,199.75,210.44734,0,1.00012,0.82655,0,2111,0,160000,0.08524,85432,74568,76916,83084,61780,98220,0
93.09143,82.13144,58.48317,0.08506,0,0.03982,1,0,0.69398,4.59668,0,13610,0,199.75,228.91938,0,1,0.44191,0,14146,0,160000,0.41977,62160,97840,67316,92684,60356,99644,0
92.51106,72.11861,36.12242,0.03421,0,0.04644,1,0,2.73972,59.99214,0,5473,0,199.75,228.91938,0,1,0.42094,0,5656,0,160000,0.21507,74692,85308,74538,85462,60498,99502,0
73.45423,50.22818,29.26791,0.03541,0,0.04912,1,0,1.71196,10.18653,0,5665,0,199.75,228.34276,0,1.00003,0.5226,0,5956,0,160000,0.22082,44832,115168,62410,97590,58063,101937,0
70.26832,29.60546,13.0357,0.01439,0,0.05326,1,0,0.65775,3.6811,0,2302,0,195.25,223.79622,0.00196,1.00261,0.68257,0,2382,0,160000,0.10864,51744,108256,55257,104743,31763,128237,0
127.14461,106.4282,66.53542,0.02195,0,0.03875,1,0,0.4339,3.52199,0,3512,0,199.75,220.42932,0,1.00616,0.4351,0,3523,0,160000,0.15225,84343,75657,82128,77872,66429,93571,0
104.32062,96.4039,68.19233,0.03794,0,0.03915,1,0,2.6101,34.77973,0,6070,0,199.75,228.91938,0,1,0.54079,0,6157,0,160000,0.23275,74144,85856,66701,93299,59439,100561,0
88.92244,68.94817,37.37433,0.03518,0,0.04276,1,0,0.81804,6.92144,0,5629,0,194.75,223.29521,0.00401,1.00534,0.8695,0,5799,0,160000,0.21974,56330,103670,74378,85622,65985,94015,0
155.4946,121.46324,55.92616,0.05717,0,0.03169,1,0,0.45484,4.28714,0,9147,0,199.75,228.91938,0,1,0.56435,0,9364,0,160000,0.3161,81303,78697,71842,88158,57637,102363,0
87.85643,77.71779,61.06428,0.06367,0,0.07439,1,0,-0.08368,3.22527,0,10187,0,199.75,228.91938,0,1,0.35116,0,10491,0,160000,0.34184,66054,93946,81151,78849,81081,78919,0
91.79161,81.55685,45.83201,0.02851,0,0.03133,1,0,4.20056,110.40999,0,4562,0,199.75,215.50889,0,1.01647,0.70018,0,4612,0,160000,0.18688,60349,99651,94328,65672,67680,92320,0
84.73459,63.82524,44.05045,0.08858,0,0.04701,1,0,0.81301,6.66064,0,14172,0,199.75,228.91938,0,1,0.61647,0,15037,0,160000,0.4317,57900,102100,60631,99369,54468,105532,0
126.61575,109.25401,84.01031,0.04813,0,0.03599,1,0,0.66518,4.70454,0,7700,0,199.75,226.05106,0,1.00065,0.71339,0,8208,0,160000,0.27838,84751,75249,90718,69282,88386,71614,0
99.53366,83.88073,57.05018,0.03384,0,0.05326,1,0,1.90329,16.44471,0,5415,0,199.75,228.91938,0,1,0.63665,0,5727,0,160000,0.21332,59326,100674,67892,92108,46815,113185,0
83.18769,67.13478,36.88204,0.03254,0,0.04772,1,0,1.68994,11.6872,0,5207,0,199.75,222.09926,0,1.00389,0.57474,0,5571,0,160000,0.20699,61143,98857,74398,85602,53366,106634,0
110.13605,100.52469,90.75501,0.05984,0,0.05572,1,0,0.12937,3.62285,0,9574,0,199.75,228.91938,0,1,0.31822,0,9617,0,160000,0.3268,75021,84979,79681,80319,70992,89008,0
91.81324,73.35851,30.39123,0.02841,0,0.04783,1,0,2.61179,17.13051,0,4546,0,195.75,215.55838,0.00825,1.01829,0.74787,0,4571,0,160000,0.18637,54367,105633,75928,84072,69032,90968,0
